"","symbol","date","open","high","low","close","volume","adjusted"
"1","SPY",2013-01-02,145.110000610352,146.149993896484,144.729995727539,146.059997558594,192059000,119.121894836426
"2","SPY",2013-01-03,145.990005493164,146.369995117188,145.339996337891,145.729995727539,144761800,118.85279083252
"3","SPY",2013-01-04,145.970001220703,146.610000610352,145.669998168945,146.369995117188,116817700,119.374740600586
"4","SPY",2013-01-07,145.850006103516,146.110000610352,145.429992675781,145.970001220703,110002500,119.048515319824
"5","SPY",2013-01-08,145.710006713867,145.910003662109,144.979995727539,145.550003051758,121265100,118.705917358398
"6","SPY",2013-01-09,145.869995117188,146.320007324219,145.639999389648,145.919998168945,90745600,119.007705688477
"7","SPY",2013-01-10,146.729995727539,147.089996337891,145.970001220703,147.080001831055,130735400,119.953765869141
"8","SPY",2013-01-11,147.039993286133,147.149993896484,146.610000610352,147.070007324219,113917300,119.945640563965
"9","SPY",2013-01-14,146.889999389648,147.070007324219,146.429992675781,146.970001220703,89567200,119.864051818848
"10","SPY",2013-01-15,146.289993286133,147.210006713867,146.199996948242,147.070007324219,93172600,119.945640563965
"11","SPY",2013-01-16,146.770004272461,147.279998779297,146.610000610352,147.050003051758,104849500,119.929306030273
"12","SPY",2013-01-17,147.699996948242,148.419998168945,147.149993896484,148,133833500,120.704109191895
"13","SPY",2013-01-18,147.970001220703,148.490005493164,147.429992675781,148.330001831055,169906000,120.973266601562
"14","SPY",2013-01-22,148.330001831055,149.130004882812,147.979995727539,149.130004882812,111797300,121.625701904297
"15","SPY",2013-01-23,149.130004882812,149.5,148.860000610352,149.369995117188,104596100,121.82145690918
"16","SPY",2013-01-24,149.149993896484,150.139999389648,149.009994506836,149.410003662109,146426400,121.854064941406
"17","SPY",2013-01-25,149.880004882812,150.25,149.369995117188,150.25,147211600,122.539176940918
"18","SPY",2013-01-28,150.289993286133,150.330001831055,149.509994506836,150.070007324219,113357700,122.39234161377
"19","SPY",2013-01-29,149.770004272461,150.850006103516,149.669998168945,150.660003662109,105694400,122.873512268066
"20","SPY",2013-01-30,150.639999389648,150.940002441406,149.929992675781,150.070007324219,137447700,122.39234161377
"21","SPY",2013-01-31,149.889999389648,150.380004882812,149.600006103516,149.699996948242,108975800,122.090621948242
"22","SPY",2013-02-01,150.649993896484,151.419998168945,150.389999389648,151.240005493164,131173000,123.346557617188
"23","SPY",2013-02-04,150.320007324219,151.270004272461,149.429992675781,149.539993286133,159073600,121.960098266602
"24","SPY",2013-02-05,150.350006103516,151.479995727539,150.289993286133,151.050003051758,113912400,123.191558837891
"25","SPY",2013-02-06,150.520004272461,151.259994506836,150.410003662109,151.160003662109,138762800,123.281326293945
"26","SPY",2013-02-07,151.210006713867,151.350006103516,149.860000610352,150.960006713867,162490000,123.118179321289
"27","SPY",2013-02-08,151.220001220703,151.889999389648,151.220001220703,151.800003051758,103133700,123.803321838379
"28","SPY",2013-02-11,151.740005493164,151.899993896484,151.389999389648,151.770004272461,73775000,123.778793334961
"29","SPY",2013-02-12,151.779998779297,152.300003051758,151.610000610352,152.020004272461,65392700,123.982711791992
"30","SPY",2013-02-13,152.330001831055,152.610000610352,151.720001220703,152.149993896484,82322600,124.088714599609
"31","SPY",2013-02-14,151.690002441406,152.470001220703,151.520004272461,152.289993286133,80834300,124.202919006348
"32","SPY",2013-02-15,152.429992675781,152.589996337891,151.550003051758,152.110000610352,215226500,124.056106567383
"33","SPY",2013-02-19,152.369995117188,153.279998779297,152.160003662109,153.25,95105400,124.985847473145
"34","SPY",2013-02-20,153.139999389648,153.190002441406,151.259994506836,151.339996337891,160574800,123.428039550781
"35","SPY",2013-02-21,150.960006713867,151.419998168945,149.940002441406,150.419998168945,183257000,122.677795410156
"36","SPY",2013-02-22,151.149993896484,151.889999389648,150.490005493164,151.889999389648,106356600,123.87670135498
"37","SPY",2013-02-25,152.630004882812,152.860000610352,149,149,245824800,121.519683837891
"38","SPY",2013-02-26,149.720001220703,150.199996948242,148.729995727539,150.020004272461,186596200,122.351516723633
"39","SPY",2013-02-27,149.889999389648,152.330001831055,149.759994506836,151.910003662109,150781900,123.892974853516
"40","SPY",2013-02-28,151.899993896484,152.869995117188,151.410003662109,151.610000610352,126866000,123.64826965332
"41","SPY",2013-03-01,151.089996337891,152.339996337891,150.410003662109,152.110000610352,170634800,124.056106567383
"42","SPY",2013-03-04,151.759994506836,152.919998168945,151.520004272461,152.919998168945,99010200,124.716720581055
"43","SPY",2013-03-05,153.660003662109,154.699996948242,153.639999389648,154.289993286133,121431900,125.833992004395
"44","SPY",2013-03-06,154.839996337891,154.919998168945,154.160003662109,154.5,94469900,126.005271911621
"45","SPY",2013-03-07,154.699996948242,154.979995727539,154.520004272461,154.779998779297,86101400,126.233703613281
"46","SPY",2013-03-08,155.460006713867,155.649993896484,154.660003662109,155.440002441406,123477800,126.771911621094
"47","SPY",2013-03-11,155.320007324219,156.039993286133,155.130004882812,156.029998779297,83746800,127.253120422363
"48","SPY",2013-03-12,155.919998168945,156.100006103516,155.210006713867,155.679992675781,105755800,126.967613220215
"49","SPY",2013-03-13,155.759994506836,156.119995117188,155.229995727539,155.899993896484,92550900,127.147087097168
"50","SPY",2013-03-14,156.309997558594,156.800003051758,155.910003662109,156.729995727539,126329900,127.824012756348
"51","SPY",2013-03-15,155.850006103516,156.039993286133,155.309997558594,155.830001831055,138601100,127.6552734375
"52","SPY",2013-03-18,154.339996337891,155.639999389648,154.199996948242,154.970001220703,126704300,126.950759887695
"53","SPY",2013-03-19,155.300003051758,155.509994506836,153.589996337891,154.610000610352,167567300,126.655868530273
"54","SPY",2013-03-20,155.520004272461,155.949996948242,155.259994506836,155.690002441406,113759300,127.540580749512
"55","SPY",2013-03-21,154.759994506836,155.639999389648,154.100006103516,154.360000610352,128605000,126.451049804688
"56","SPY",2013-03-22,154.850006103516,155.600006103516,154.729995727539,155.600006103516,111163600,127.466857910156
"57","SPY",2013-03-25,156.009994506836,156.270004272461,154.350006103516,154.949996948242,151322300,126.934379577637
"58","SPY",2013-03-26,155.589996337891,156.229995727539,155.419998168945,156.190002441406,86856600,127.950187683105
"59","SPY",2013-03-27,155.259994506836,156.240005493164,155,156.190002441406,99950600,127.950187683105
"60","SPY",2013-03-28,156.089996337891,156.850006103516,155.75,156.669998168945,102932800,128.343383789062
"61","SPY",2013-04-01,156.589996337891,156.910003662109,155.669998168945,156.050003051758,99194100,127.835479736328
"62","SPY",2013-04-02,156.610000610352,157.210006713867,156.369995117188,156.820007324219,101504300,128.466262817383
"63","SPY",2013-04-03,156.910003662109,157.029998779297,154.820007324219,155.229995727539,154167400,127.163726806641
"64","SPY",2013-04-04,155.429992675781,156.169998168945,155.089996337891,155.860000610352,131885000,127.679824829102
"65","SPY",2013-04-05,153.949996948242,155.350006103516,153.770004272461,155.160003662109,159666000,127.106460571289
"66","SPY",2013-04-08,155.270004272461,156.220001220703,154.75,156.210006713867,86571200,127.966537475586
"67","SPY",2013-04-09,156.5,157.320007324219,155.979995727539,156.75,101922200,128.408905029297
"68","SPY",2013-04-10,157.169998168945,158.869995117188,157.130004882812,158.669998168945,135711100,129.981750488281
"69","SPY",2013-04-11,158.699996948242,159.710006713867,158.539993286133,159.190002441406,110142500,130.407745361328
"70","SPY",2013-04-12,158.679992675781,159.039993286133,157.919998168945,158.800003051758,116359900,130.088272094727
"71","SPY",2013-04-15,158,158.130004882812,155.100006103516,155.119995117188,217259000,127.073631286621
"72","SPY",2013-04-16,156.289993286133,157.490005493164,155.910003662109,157.410003662109,147507800,128.949584960938
"73","SPY",2013-04-17,156.289993286133,156.320007324219,154.279998779297,155.110000610352,226834800,127.065467834473
"74","SPY",2013-04-18,155.369995117188,155.410003662109,153.550003051758,154.139999389648,167583200,126.27082824707
"75","SPY",2013-04-19,154.5,155.550003051758,154.119995117188,155.479995727539,149687600,127.368591308594
"76","SPY",2013-04-22,155.779998779297,156.539993286133,154.75,156.169998168945,106553500,127.933799743652
"77","SPY",2013-04-23,156.949996948242,157.929992675781,156.169998168945,157.779998779297,166141300,129.252700805664
"78","SPY",2013-04-24,157.830001831055,158.300003051758,157.539993286133,157.880004882812,96781200,129.334594726562
"79","SPY",2013-04-25,158.339996337891,159.270004272461,158.100006103516,158.520004272461,131060600,129.858932495117
"80","SPY",2013-04-26,158.330001831055,158.600006103516,157.729995727539,158.240005493164,95918800,129.629486083984
"81","SPY",2013-04-29,158.669998168945,159.649993896484,158.419998168945,159.300003051758,88572800,130.497894287109
"82","SPY",2013-04-30,159.270004272461,159.720001220703,158.610000610352,159.679992675781,116010700,130.809173583984
"83","SPY",2013-05-01,159.330001831055,159.410003662109,158.100006103516,158.279998779297,138874200,129.662292480469
"84","SPY",2013-05-02,158.679992675781,159.889999389648,158.529998779297,159.75,96407600,130.866516113281
"85","SPY",2013-05-03,161.139999389648,161.880004882812,159.779998779297,161.369995117188,144202300,132.193588256836
"86","SPY",2013-05-06,161.490005493164,162.009994506836,161.419998168945,161.779998779297,66882100,132.52946472168
